index,valence,seconds,words,polarity,image_valence,emo_watson,opensmile_valence,opensmile_arousal
0,0.0,0.0,okay,0.5,0.17895475,0.0,0.12,-0.02
1,0.1,0.04,okay,0.5,0.17895475,0.0,0.12,-0.02
2,0.1,0.08,okay,0.5,0.17895475,0.0,0.12,-0.02
3,0.1,0.12,okay,0.5,0.17895475,0.0,0.12,-0.02
4,0.1,0.16,okay,0.5,0.17895475,0.0,0.12,-0.02
5,0.1,0.2,okay,0.5,0.17895475,0.0,0.12,-0.02
6,0.2,0.24,okay,0.5,0.17895475,0.0,0.12,-0.02
7,0.2,0.28,okay,0.5,0.17895475,0.0,0.12,-0.02
8,0.2,0.32,okay,0.5,0.17895475,0.0,0.12,-0.02
9,0.2,0.36,okay,0.5,0.17895475,0.0,0.12,-0.02
10,0.2,0.4,okay,0.5,0.17895475,0.0,0.12,-0.02
11,0.2,0.44,okay,0.5,0.17895475,0.0,0.12,-0.02
12,0.2,0.48,okay,0.5,0.17895475,0.0,0.12,-0.02
13,0.2,0.52,okay,0.5,0.17895475,0.0,0.12,-0.02
14,0.2,0.56,okay,0.5,0.17895475,0.0,0.12,-0.02
15,0.2,0.6,okay,0.5,0.17895475,0.0,0.12,-0.02
16,0.2,0.64,okay,0.5,0.17895475,0.0,0.12,-0.02
17,0.2,0.68,okay,0.5,0.17895475,0.0,0.12,-0.02
18,0.2,0.72,okay,0.5,0.17895475,0.0,0.12,-0.02
19,0.2,0.76,okay,0.5,0.17895475,0.0,0.12,-0.02
20,0.2,0.8,okay,0.5,0.17895475,0.0,0.12,-0.02
21,0.2,0.84,okay,0.5,0.17895475,0.0,0.12,-0.02
22,0.2,0.88,okay,0.5,0.17895475,0.0,0.12,-0.02
23,0.2,0.92,okay,0.5,0.17895475,0.0,0.12,-0.02
24,0.2,0.96,okay,0.5,0.17895475,0.0,0.12,-0.02
25,0.2,1.0,so,0.0,0.17895475,0.0,0.03,0.03
26,0.2,1.04,so,0.0,0.5341994999999999,0.0,0.03,0.03
27,0.2,1.08,so,0.0,0.5341994999999999,0.0,0.03,0.03
28,0.2,1.12,so,0.0,0.5341994999999999,0.0,0.03,0.03
29,0.2,1.16,so,0.0,0.5341994999999999,0.0,0.03,0.03
30,0.2,1.2,so,0.0,0.5341994999999999,0.0,0.03,0.03
31,0.2,1.24,so,0.0,0.5341994999999999,0.0,0.03,0.03
32,0.2,1.28,so,0.0,0.5341994999999999,0.0,0.03,0.03
33,0.2,1.32,you,0.0,0.5341994999999999,0.0,0.03,0.03
34,0.2,1.36,you,0.0,0.5341994999999999,0.0,0.03,0.03
35,0.2,1.4,you,0.0,0.5341994999999999,0.0,0.03,0.03
36,0.2,1.44,you,0.0,0.5341994999999999,0.0,0.03,0.03
37,0.2,1.48,you,0.0,0.5341994999999999,0.0,0.03,0.03
38,0.2,1.52,today,0.0,0.5341994999999999,0.0,0.03,0.03
39,0.2,1.56,today,0.0,0.5341994999999999,0.0,0.03,0.03
40,0.2,1.6,today,0.0,0.5341994999999999,0.0,0.03,0.03
41,0.2,1.64,today,0.0,0.5341994999999999,0.0,0.03,0.03
42,0.2,1.68,today,0.0,0.5341994999999999,0.0,0.03,0.03
43,0.2,1.72,today,0.0,0.5341994999999999,0.0,0.03,0.03
44,0.2,1.76,today,0.0,0.5341994999999999,0.0,0.03,0.03
45,0.2,1.8,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
46,0.2,1.84,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
47,0.2,1.88,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
48,0.2,1.92,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
49,0.2,1.96,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
50,0.2,2.0,nice,0.6,0.5341994999999999,0.792706,0.03,0.03
51,0.2,2.04,nice,0.6,-0.14980687,0.792706,0.03,0.03
52,0.2,2.08,nice,0.6,-0.14980687,0.792706,0.03,0.03
53,0.2,2.12,nice,0.6,-0.14980687,0.792706,0.03,0.03
54,0.2,2.16,nice,0.6,-0.14980687,0.792706,0.03,0.03
55,0.2,2.2,nice,0.6,-0.14980687,0.792706,0.03,0.03
56,0.2,2.24,nice,0.6,-0.14980687,0.792706,0.03,0.03
57,0.2,2.28,nice,0.6,-0.14980687,0.792706,0.03,0.03
58,0.2,2.32,nice,0.6,-0.14980687,0.792706,0.03,0.03
59,0.2,2.36,nice,0.6,-0.14980687,0.792706,0.03,0.03
60,0.2,2.4,nice,0.6,-0.14980687,0.792706,0.03,0.03
61,0.2,2.44,nice,0.6,-0.14980687,0.792706,0.03,0.03
62,0.2,2.48,nice,0.6,-0.14980687,0.792706,0.03,0.03
63,0.2,2.52,nice,0.6,-0.14980687,0.792706,0.12,0.38
64,0.2,2.56,nice,0.6,-0.14980687,0.792706,0.12,0.38
65,0.2,2.6,nice,0.6,-0.14980687,0.792706,0.12,0.38
66,0.2,2.64,nice,0.6,-0.14980687,0.792706,0.12,0.38
67,0.2,2.68,nice,0.6,-0.14980687,0.792706,0.12,0.38
68,0.2,2.72,nice,0.6,-0.14980687,0.792706,0.12,0.38
