index,valence,seconds,words,polarity,image_valence,emo_watson,opensmile_valence,opensmile_arousal
0,0.0,0.0,hey,0.0,0.71912724,0.557817,0.37,0.06
1,0.1,0.04,hey,0.0,0.71912724,0.557817,0.37,0.06
2,0.1,0.08,hey,0.0,0.71912724,0.557817,0.37,0.06
3,0.2,0.12,hey,0.0,0.71912724,0.557817,0.37,0.06
4,0.2,0.16,hey,0.0,0.71912724,0.557817,0.37,0.06
5,0.2,0.2,how,0.0,0.71912724,0.557817,0.37,0.06
6,0.2,0.24,how,0.0,0.71912724,0.557817,0.37,0.06
7,0.2,0.28,how,0.0,0.71912724,0.557817,0.37,0.06
8,0.2,0.32,how,0.0,0.71912724,0.557817,0.37,0.06
9,0.2,0.36,how,0.0,0.71912724,0.557817,0.37,0.06
10,0.2,0.4,how,0.0,0.71912724,0.557817,0.37,0.06
11,0.2,0.44,how,0.0,0.71912724,0.557817,0.37,0.06
12,0.2,0.48,how,0.0,0.71912724,0.557817,0.37,0.06
13,0.2,0.52,was,0.0,0.71912724,0.557817,0.37,0.06
14,0.2,0.56,was,0.0,0.71912724,0.557817,0.37,0.06
15,0.2,0.6,was,0.0,0.71912724,0.557817,0.37,0.06
16,0.2,0.64,was,0.0,0.71912724,0.557817,0.37,0.06
17,0.2,0.68,was,0.0,0.71912724,0.557817,0.37,0.06
18,0.2,0.72,was,0.0,0.71912724,0.557817,0.37,0.06
19,0.2,0.76,was,0.0,0.71912724,0.557817,0.37,0.06
20,0.2,0.8,was,0.0,0.71912724,0.557817,0.37,0.06
21,0.2,0.84,was,0.0,0.71912724,0.557817,0.37,0.06
22,0.2,0.88,was,0.0,0.71912724,0.557817,0.37,0.06
23,0.2,0.92,was,0.0,0.71912724,0.557817,0.37,0.06
24,0.2,0.96,was,0.0,0.71912724,0.557817,0.37,0.06
25,0.3,1.0,was,0.0,0.71912724,0.557817,0.37,0.06
26,0.3,1.04,was,0.0,0.72770864,0.557817,0.37,0.06
27,0.3,1.08,was,0.0,0.72770864,0.557817,0.37,0.06
28,0.3,1.12,was,0.0,0.72770864,0.557817,0.37,0.06
29,0.3,1.16,was,0.0,0.72770864,0.557817,0.37,0.06
30,0.3,1.2,was,0.0,0.72770864,0.557817,0.37,0.06
31,0.3,1.24,was,0.0,0.72770864,0.557817,0.37,0.06
32,0.4,1.28,was,0.0,0.72770864,0.557817,0.37,0.06
33,0.4,1.32,was,0.0,0.72770864,0.557817,0.37,0.06
34,0.4,1.36,was,0.0,0.72770864,0.557817,0.28,0.36
35,0.4,1.4,was,0.0,0.72770864,0.557817,0.28,0.36
36,0.4,1.44,was,0.0,0.72770864,0.557817,0.28,0.36
37,0.4,1.48,was,0.0,0.72770864,0.557817,0.28,0.36
38,0.4,1.52,was,0.0,0.72770864,0.557817,0.28,0.36
39,0.4,1.56,was,0.0,0.72770864,0.557817,0.28,0.36
40,0.4,1.6,was,0.0,0.72770864,0.557817,0.28,0.36
41,0.4,1.64,was,0.0,0.72770864,0.557817,0.28,0.36
42,0.4,1.68,was,0.0,0.72770864,0.557817,0.28,0.36
43,0.4,1.72,was,0.0,0.72770864,0.557817,0.28,0.36
44,0.4,1.76,was,0.0,0.72770864,0.557817,0.28,0.36
45,0.4,1.8,was,0.0,0.72770864,0.557817,0.28,0.36
46,0.4,1.84,was,0.0,0.72770864,0.557817,0.28,0.36
